month,DE_Nuclear,DE_Lignite,DE_Hard coal,DE_Gas,DE_Oil & other fossil,DE_Biomass,DE_Waste,DE_Geothermal,DE_Hydro run-of-river,DE_Hydro reservoir,DE_Hydro pumped (production),DE_Onshore wind,DE_Offshore wind,DE_Solar,DE_Marine,DE_Other renewable,DE_Other,ES_Nuclear,ES_Lignite,ES_Hard coal,ES_Gas,ES_Oil & other fossil,ES_Biomass,ES_Waste,ES_Geothermal,ES_Hydro run-of-river,ES_Hydro reservoir,ES_Hydro pumped (production),ES_Onshore wind,ES_Offshore wind,ES_Solar,ES_Marine,ES_Other renewable,ES_Other,PT_Nuclear,PT_Lignite,PT_Hard coal,PT_Gas,PT_Oil & other fossil,PT_Biomass,PT_Waste,PT_Geothermal,PT_Hydro run-of-river,PT_Hydro reservoir,PT_Hydro pumped (production),PT_Onshore wind,PT_Offshore wind,PT_Solar,PT_Marine,PT_Other renewable,PT_Other,FR_Nuclear,FR_Lignite,FR_Hard coal,FR_Gas,FR_Oil & other fossil,FR_Biomass,FR_Waste,FR_Geothermal,FR_Hydro run-of-river,FR_Hydro reservoir,FR_Hydro pumped (production),FR_Onshore wind,FR_Offshore wind,FR_Solar,FR_Marine,FR_Other renewable,FR_Other,IT_Nuclear,IT_Lignite,IT_Hard coal,IT_Gas,IT_Oil & other fossil,IT_Biomass,IT_Waste,IT_Geothermal,IT_Hydro run-of-river,IT_Hydro reservoir,IT_Hydro pumped (production),IT_Onshore wind,IT_Offshore wind,IT_Solar,IT_Marine,IT_Other renewable,IT_Other
2021-03,47.88,52.62,54.73,52.56,47.38,47.44,47.37,47.0,47.41,53.02,60.04,35.07,39.74,41.02,,48.18,48.66,45.7,,46.5,48.88,47.09,45.65,45.51,,46.94,50.9,,40.55,,41.14,,45.76,45.5,,,65.04,52.74,,45.56,,,47.87,52.8,55.5,40.43,,40.61,,,45.26,50.65,,54.03,53.77,52.26,50.3,50.21,,52.17,57.34,63.67,44.98,,45.52,,,,,,61.38,62.5,62.22,60.28,60.59,60.4,63.16,65.18,73.79,58.62,,57.95,,,61.81
2021-04,54.64,59.41,61.59,59.24,53.75,53.97,54.01,52.86,53.45,60.83,67.27,45.04,46.92,45.47,,54.52,53.91,64.91,,66.03,68.66,67.91,64.98,64.8,,65.55,70.58,,61.12,,59.62,,65.36,69.33,,,74.66,70.81,,64.87,,,69.96,75.94,72.88,63.01,,59.52,,,64.55,63.42,,71.22,69.71,68.21,63.42,63.03,,64.65,69.73,75.81,57.69,,56.47,,,,,,70.61,72.24,72.93,68.9,68.73,69.02,71.3,74.5,81.07,66.98,,65.55,,,70.14
2021-05,54.04,61.12,61.14,59.32,53.38,53.74,53.68,54.03,54.74,63.14,70.12,43.22,41.71,41.9,,54.26,55.49,66.11,,70.18,71.38,70.71,67.27,67.51,,67.3,74.82,,59.86,,62.76,,67.68,66.03,,,87.1,75.9,,66.95,,,73.19,82.92,79.69,61.12,65.14,61.88,,,67.61,56.76,,55.27,64.56,56.41,55.24,55.01,,56.37,59.3,75.03,48.43,,48.85,,,,,,69.61,72.87,73.3,69.98,69.49,69.87,71.9,74.44,81.08,68.73,,67.32,,,71.52
2021-06,74.29,77.62,81.08,79.54,74.2,74.21,73.8,72.99,74.2,80.85,87.49,64.18,69.58,68.58,,74.16,74.08,83.38,,84.04,85.28,85.07,83.35,83.56,,83.61,87.22,,80.84,,81.2,,83.64,83.47,,,91.42,86.62,,83.25,,,88.4,89.24,90.84,80.25,82.59,80.33,,,83.43,74.12,,80.52,80.89,75.97,73.55,73.66,,74.15,76.39,87.19,73.55,,69.42,,,,,,88.06,89.32,91.42,84.59,85.35,84.8,86.48,89.35,93.87,85.27,,83.61,,,88.02
2021-07,81.46,84.75,89.43,87.67,82.6,81.79,80.22,81.73,81.65,87.56,95.11,69.45,73.6,74.08,,81.38,81.15,92.37,,93.68,94.65,93.51,92.34,92.32,,92.95,95.04,,89.59,,90.3,,92.64,92.45,,,101.2,96.1,,92.55,,,95.59,99.04,101.02,90.18,91.33,89.7,,,92.75,78.56,,87.96,88.78,78.68,75.69,78.04,,79.61,83.48,94.52,73.29,,76.0,,,,,,105.15,105.78,105.72,102.72,102.36,102.65,104.67,106.23,112.42,100.35,,104.03,,,104.46
2021-08,83.45,86.82,94.87,88.14,82.78,83.34,82.86,83.24,83.02,91.21,99.55,73.72,76.72,76.8,,82.98,83.39,106.06,,107.79,109.7,107.14,106.17,106.28,,106.38,110.24,,102.34,,101.11,,106.41,106.15,,,117.56,112.81,,106.2,,,110.38,116.02,116.22,101.26,104.54,100.74,,,106.94,78.94,,94.94,87.1,77.64,77.13,77.04,,77.52,85.85,99.73,68.12,,74.53,,,,,,113.61,115.9,113.86,112.58,112.62,112.62,114.6,116.11,125.71,110.33,,109.08,,,114.01
2021-09,128.52,130.32,135.63,136.22,129.08,129.27,128.58,127.98,127.91,141.94,158.57,118.25,125.44,117.04,,128.75,129.37,156.5,,158.26,158.41,157.61,156.66,156.8,,156.24,160.84,,155.28,,148.9,,157.23,156.67,,,158.77,159.52,,156.62,,,165.03,170.13,172.98,156.34,163.3,149.74,,,156.15,135.34,,136.25,148.28,136.49,135.47,135.25,,138.52,146.28,160.83,133.12,,131.5,,,,,,167.82,162.12,158.84,157.9,153.8,158.58,161.86,163.17,177.52,159.54,,154.34,,,160.35
2021-10,140.14,149.07,169.61,160.04,142.09,141.03,141.4,139.54,142.85,167.65,182.59,112.0,128.54,128.05,,143.43,147.68,199.83,,203.07,211.49,203.88,199.19,200.13,,200.71,220.29,,181.34,,192.8,,200.71,198.3,,,225.41,216.64,,198.66,,,221.72,222.65,235.02,174.44,186.94,191.21,,,201.55,174.32,,194.26,203.53,186.02,172.17,171.13,,179.88,199.0,232.11,148.93,,178.72,,,,,,218.03,226.47,225.13,217.76,215.17,217.59,228.64,236.15,257.03,214.91,,212.96,,,222.84
2021-11,177.76,182.45,193.81,200.02,185.64,177.89,176.1,175.27,176.48,216.08,224.06,142.73,159.37,182.82,,180.4,185.48,189.04,,200.17,206.11,197.18,193.94,191.86,,195.78,215.17,,187.46,,181.59,,194.38,196.14,,,188.15,207.1,,194.83,,,214.93,207.75,220.17,192.44,203.28,183.29,,,194.86,218.4,,220.0,227.69,237.04,217.33,215.83,,222.78,255.2,268.24,217.23,,217.93,,,,,,228.31,236.42,242.94,226.46,223.96,225.38,238.4,253.42,278.52,224.48,,236.48,,,234.11
2021-12,224.98,236.16,256.57,262.6,244.94,223.82,221.09,224.63,216.67,290.43,274.56,165.48,189.42,271.24,,230.53,228.63,240.56,,247.11,271.73,246.34,241.1,242.32,,239.74,261.11,,210.43,,226.99,,241.87,223.85,,,,269.38,,238.76,,,273.69,280.76,268.92,229.44,227.19,233.61,,,237.35,276.33,,296.59,300.54,297.52,274.48,273.53,,273.08,304.54,336.64,250.89,,310.59,,,,,,292.84,305.45,308.47,281.55,277.63,279.87,293.56,302.55,329.5,268.43,,299.02,,,292.2
2022-01,168.9,183.28,190.52,194.32,172.6,169.78,165.23,169.48,168.9,211.31,210.43,132.53,148.92,178.32,,174.17,175.16,203.26,,202.18,212.83,204.16,200.75,203.01,,201.26,219.72,,194.59,,196.9,,203.13,189.13,,,,214.37,,202.1,,,223.22,221.59,228.63,194.24,183.37,197.49,,,201.5,214.63,,236.72,226.85,230.14,211.5,211.8,,213.63,246.89,262.01,184.4,,225.55,,,,,,228.12,237.04,229.59,226.42,221.52,224.27,238.75,249.01,263.04,224.45,,228.8,,,231.85
