hour_utc,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
10,37.34,29.26,96.6,205.8,77.54,53.19,52.28,48.22,,,,,,,,,,50.13,35.17,109.41,153.88,69.16,41.73,32.57,16.92,,,,,,,,,,50.22,35.21,109.55,154.75,72.78,43.45,35.05,18.72,,,,,,,,,,41.94,34.67,113.51,279.11,87.55,44.84,40.44,30.64,,,,,,,,,,49.37,37.46,124.25,288.08,112.15,92.25,94.24,95.82,,,,,,,,,
11,35.23,26.75,90.49,192.37,70.5,47.45,45.96,37.89,,,,,,,,,,49.73,34.76,107.38,150.98,66.26,39.49,29.5,14.83,,,,,,,,,,49.86,34.81,107.48,151.86,70.11,40.9,32.07,16.68,,,,,,,,,,39.94,32.9,107.23,264.96,79.58,40.06,35.53,22.82,,,,,,,,,,47.2,35.52,119.99,276.16,106.35,87.78,89.72,90.23,,,,,,,,,
12,34.09,25.19,86.77,186.94,67.82,46.96,46.68,38.38,,,,,,,,,,48.44,33.85,104.85,145.55,62.92,37.78,27.65,14.71,,,,,,,,,,48.63,33.91,104.98,146.44,66.55,39.04,30.04,15.84,,,,,,,,,,37.8,30.6,100.61,259.65,75.03,36.7,31.54,21.14,,,,,,,,,,48.14,34.94,119.25,276.84,106.62,89.36,92.12,92.92,,,,,,,,,
13,34.84,26.28,89.46,197.55,73.83,53.7,56.3,50.81,,,,,,,,,,46.67,32.22,100.38,140.76,60.31,36.74,27.45,15.03,,,,,,,,,,47.09,32.33,100.78,141.56,64.61,38.74,30.04,16.15,,,,,,,,,,36.96,29.32,99.16,255.84,77.83,38.4,33.51,26.8,,,,,,,,,,50.46,36.21,122.39,285.46,112.82,95.37,98.41,99.33,,,,,,,,,
14,36.67,28.92,95.87,216.43,85.08,67.61,72.18,70.57,,,,,,,,,,45.68,31.6,99.75,139.5,61.46,38.15,31.0,17.09,,,,,,,,,,46.28,31.84,100.28,140.49,65.43,39.93,33.24,17.55,,,,,,,,,,37.21,30.08,102.21,259.39,83.69,44.37,39.81,33.72,,,,,,,,,,53.61,38.79,127.97,301.52,121.4,105.3,109.61,111.96,,,,,,,,,
15,40.82,33.72,108.26,252.18,101.05,86.81,95.86,97.33,,,,,,,,,,46.22,32.63,105.81,146.76,69.35,46.3,41.25,21.44,,,,,,,,,,46.7,32.84,106.09,147.3,72.28,47.45,42.98,21.78,,,,,,,,,,40.01,33.09,111.88,281.4,96.08,53.6,51.67,43.81,,,,,,,,,,56.58,42.34,134.32,320.91,132.49,115.62,122.98,130.28,,,,,,,,,
16,46.16,39.96,123.69,293.42,121.42,110.44,123.22,126.93,,,,,,,,,,48.06,35.07,115.63,163.1,83.37,59.32,58.96,32.5,,,,,,,,,,48.31,35.1,115.68,163.42,85.0,59.56,60.29,32.16,,,,,,,,,,45.52,38.52,127.37,315.67,115.82,69.62,70.85,65.54,,,,,,,,,,61.38,47.45,144.19,350.0,147.12,128.38,135.23,147.53,,,,,,,,,
17,49.62,44.01,129.8,318.91,138.24,126.76,141.02,152.29,,,,,,,,,,50.68,38.03,126.1,185.83,102.26,75.96,82.92,59.92,,,,,,,,,,50.69,37.96,126.04,185.88,102.06,76.1,83.71,56.94,,,,,,,,,,49.5,43.52,138.95,345.02,131.55,86.53,93.52,97.68,,,,,,,,,,66.01,52.11,152.77,379.55,165.48,143.83,146.62,161.18,,,,,,,,,
18,48.21,41.61,122.15,308.94,132.65,124.66,137.33,162.62,,,,,,,,,,52.88,40.27,132.61,207.45,119.24,90.05,105.43,92.16,,,,,,,,,,52.87,40.17,132.56,207.4,119.09,89.65,105.45,86.44,,,,,,,,,,48.56,41.85,136.16,341.15,131.91,88.5,99.1,112.32,,,,,,,,,,66.65,51.9,149.14,377.09,167.04,144.03,149.43,165.46,,,,,,,,,
19,43.73,36.27,109.42,281.23,118.53,103.56,120.37,148.25,,,,,,,,,,53.96,40.86,133.11,213.22,122.33,98.78,115.64,106.78,,,,,,,,,,53.96,40.77,133.15,213.23,122.25,98.69,115.13,101.89,,,,,,,,,,45.0,37.46,124.85,315.78,121.46,81.72,91.92,104.28,,,,,,,,,,62.17,46.87,138.2,346.84,150.5,128.88,136.77,156.04,,,,,,,,,
20,40.16,32.96,99.56,260.44,107.49,90.16,106.49,130.74,,,,,,,,,,52.12,39.29,127.18,201.78,114.62,90.14,104.25,99.9,,,,,,,,,,52.16,39.26,127.2,201.82,114.55,90.07,104.07,96.61,,,,,,,,,,43.12,34.73,116.57,294.28,112.27,77.83,87.2,98.21,,,,,,,,,,55.99,42.34,127.38,320.08,134.82,115.16,125.93,147.17,,,,,,,,,
21,36.78,29.96,90.63,237.25,98.41,81.3,97.1,117.78,,,,,,,,,,49.51,36.29,119.11,184.51,104.34,80.98,90.9,85.4,,,,,,,,,,49.58,36.28,119.04,184.58,104.39,80.96,91.2,83.94,,,,,,,,,,40.72,33.12,109.66,279.01,104.32,72.42,79.6,90.96,,,,,,,,,,50.32,37.87,119.27,300.98,126.46,107.88,118.87,137.1,,,,,,,,,
22,32.92,26.79,81.76,218.28,90.51,75.08,90.11,109.57,,,,,,,,,,48.41,34.28,114.29,176.98,97.65,74.57,83.64,76.77,,,,,,,,,,48.55,34.29,114.44,177.13,97.65,74.71,83.96,76.43,,,,,,,,,,37.42,30.67,101.95,257.39,96.74,62.47,69.16,80.92,,,,,,,,,,48.43,35.94,115.98,285.37,121.65,103.62,114.39,133.37,,,,,,,,,
23,30.62,24.6,78.56,205.34,84.05,70.62,85.68,104.72,,,,,,,,,,45.88,31.92,110.04,168.39,90.53,68.79,75.56,70.74,,,,,,,,,,46.29,32.0,110.2,168.66,90.6,68.98,76.17,70.56,,,,,,,,,,34.6,27.19,95.57,240.8,87.97,54.19,60.51,74.79,,,,,,,,,,46.52,33.69,112.9,275.8,117.15,99.61,110.21,129.74,,,,,,,,,
