row,win_year,f1_Ge_w,f1_Sp_w,f1_Po_w,f1_Fr_w,f1_It_w,f3_Ge_w,f3_Sp_w,f3_Po_w,f3_Fr_w,f3_It_w,i_DE_w1,i_DE_w2,i_DE_w3,i_DE_w4,i_DE_w5,i_DE_w6,i_DE_w7,i_DE_w8,i_ES_w1,i_ES_w2,i_ES_w3,i_ES_w4,i_ES_w5,i_ES_w6,i_ES_w7,i_ES_w8,a_DE_w1,a_DE_w2,a_DE_w3,a_DE_w4,a_DE_w5,a_DE_w6,a_DE_w7,a_DE_w8,c_DE_w1,c_DE_w2,c_DE_w3,c_DE_w4,c_DE_w5,c_DE_w6,c_DE_w7,c_DE_w8,c_ES_w1,c_ES_w2,c_ES_w3,c_ES_w4,c_ES_w5,c_ES_w6,c_ES_w7,c_ES_w8,d_PT_w1,d_PT_w2,d_PT_w3,d_PT_w4,d_PT_w5,d_PT_w6,d_PT_w7,d_PT_w8,n_DE_w1,n_DE_w2,n_DE_w3,n_DE_w4,n_DE_w5,n_DE_w6,n_DE_w7,n_DE_w8,mm_DE_min,mm_DE_max,gm_Gas,gm_Biomass,gm_HydroROR,gm_HydroRes,gm_HydroPump,gm_Onshore,gm_Solar,gm_Other,gm_Price,md_M01,md_M02,md_M03,md_M04,md_M05,md_M06,md_M07,md_M08,md_M09,md_M10,md_M11,md_M12,i_PT_w1,i_PT_w2,i_PT_w3,i_PT_w4,i_PT_w5,i_PT_w6,i_PT_w7,i_PT_w8,i_FR_w1,i_FR_w2,i_FR_w3,i_FR_w4,i_FR_w5,i_FR_w6,i_FR_w7,i_FR_w8,i_IT_w1,i_IT_w2,i_IT_w3,i_IT_w4,i_IT_w5,i_IT_w6,i_IT_w7,i_IT_w8,c_PT_w1,c_PT_w2,c_PT_w3,c_PT_w4,c_PT_w5,c_PT_w6,c_PT_w7,c_PT_w8,c_FR_w1,c_FR_w2,c_FR_w3,c_FR_w4,c_FR_w5,c_FR_w6,c_FR_w7,c_FR_w8,c_IT_w1,c_IT_w2,c_IT_w3,c_IT_w4,c_IT_w5,c_IT_w6,c_IT_w7,c_IT_w8,i_GB_w1,i_GB_w2,i_GB_w3,i_GB_w4,i_GB_w5,i_GB_w6,i_GB_w7,i_GB_w8,c_GB_w1,c_GB_w2,c_GB_w3,c_GB_w4,c_GB_w5,c_GB_w6,c_GB_w7,c_GB_w8,f1_GB_w,f3_GB_w
11,,,,,,,,,,,,0.9913,0.9603,0.9974,0.8741,0.8147,0.6775,0.5853,0.438,1.0513,1.0356,0.9774,0.9186,0.7939,0.6619,0.4989,0.2722,37.34,29.26,96.6,205.8,77.54,53.19,52.28,45.24,27.0,6.0,0.0,6.0,23.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,59.38,48.42,223.0,243.47,135.72,122.58,123.49,162.22,36.71,33.53,37.38,30.06,24.93,23.44,20.23,12.32,83.58,122.34,846.2,316.8,749.1,239.0,158.0,1334.5,1883.1,25.0,35.0,113.51,113.85,43.27,15.27,-3.64,-2.04,46.74,19.29,30.57,62.14,97.2,94.99,1.0493,1.036,0.9779,0.9218,0.8245,0.6847,0.5296,0.3387,1.0631,1.0765,1.0397,1.0117,0.9039,0.7729,0.662,0.4349,0.9436,0.9628,0.9903,0.9478,0.8816,0.8501,0.813,0.7513,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008,1.0392,1.0282,0.9978,0.999,0.9881,0.9064,0.8345,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
12,,,,,,,,,,,,0.9352,0.8779,0.9344,0.8171,0.7407,0.6043,0.5145,0.3428,1.0429,1.0237,0.9592,0.9013,0.7607,0.6263,0.4519,0.2419,35.23,26.75,90.49,192.37,70.5,47.45,45.96,35.4,27.0,6.0,0.0,6.0,24.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,58.9,47.86,218.3,240.0,134.0,120.72,121.16,158.74,35.54,32.21,36.01,28.87,23.71,22.16,18.94,11.03,83.75,146.66,849.2,316.9,676.3,226.5,131.0,1302.0,2056.2,25.1,32.1,107.55,107.68,36.49,3.01,-12.15,-10.09,37.76,12.42,25.52,57.73,96.28,93.01,1.0416,1.0243,0.9595,0.9046,0.7942,0.6445,0.4846,0.296,1.0124,1.0217,0.9822,0.9605,0.8216,0.6904,0.5817,0.3253,0.902,0.9131,0.9563,0.9086,0.836,0.8089,0.774,0.718,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9844,1.027,1.0169,0.9729,0.9621,0.9633,0.864,0.7982,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
13,,,,,,,,,,,,0.9051,0.8265,0.896,0.794,0.7126,0.5981,0.5226,0.3493,1.0159,0.9968,0.9367,0.8689,0.7224,0.5992,0.4236,0.2483,34.09,25.19,86.77,186.94,67.82,46.96,46.68,36.08,34.0,6.0,0.0,6.0,24.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,58.58,47.08,214.48,237.2,132.24,119.0,119.39,155.3,35.22,31.81,35.4,28.71,23.53,22.11,19.07,10.94,100.0,223.09,848.5,317.7,623.8,218.1,112.2,1305.0,2089.6,25.2,30.0,106.49,107.43,31.69,4.17,-10.12,-10.45,34.96,14.06,29.07,61.08,99.72,95.86,1.0159,0.9978,0.9372,0.8723,0.7539,0.6153,0.4539,0.2824,0.9583,0.95,0.9216,0.9412,0.7746,0.6325,0.5163,0.3173,0.9199,0.8981,0.9504,0.9108,0.8381,0.8234,0.7947,0.7401,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,1.0051,0.9964,0.9555,0.9307,0.9325,0.8393,0.7731,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
14,,,,,,,,,,,,0.9249,0.8626,0.9237,0.8391,0.7757,0.6839,0.6303,0.4667,0.9788,0.9489,0.8967,0.8403,0.6924,0.5827,0.4205,0.2521,34.84,26.28,89.46,197.55,73.83,53.7,56.3,48.2,38.0,6.0,0.0,6.0,24.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,58.09,46.53,207.76,233.96,130.44,117.11,117.56,151.49,36.21,32.78,36.34,30.1,24.94,23.84,21.16,13.03,97.99,184.03,864.2,317.8,602.2,217.6,115.5,1326.4,2046.1,25.2,30.0,110.83,113.07,41.59,20.15,2.83,-1.62,43.45,24.93,39.96,72.29,107.94,103.84,0.9838,0.9514,0.8997,0.8432,0.7319,0.6105,0.4539,0.2717,0.937,0.9105,0.9082,0.9274,0.8035,0.6619,0.5486,0.389,0.9643,0.9307,0.9754,0.9392,0.8869,0.8788,0.8489,0.79,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9606,0.9681,0.9868,0.9521,0.9204,0.9249,0.8502,0.7748,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
15,,,,,,,,,,,,0.9734,0.9492,0.9899,0.9193,0.8939,0.8611,0.8081,0.6649,0.958,0.9305,0.8911,0.8328,0.7056,0.6051,0.4749,0.2976,36.67,28.92,95.87,216.43,85.08,67.61,72.18,68.68,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,57.75,46.07,202.0,230.04,129.74,115.74,115.86,145.85,38.4,35.06,38.7,32.99,28.0,27.45,25.34,17.74,107.72,377.99,865.3,318.1,614.1,233.8,136.9,1367.4,1891.3,25.3,33.2,126.53,124.79,68.58,38.34,20.27,11.14,59.61,39.34,57.64,85.31,123.76,114.12,0.9669,0.937,0.8952,0.8369,0.7412,0.6291,0.5022,0.3117,0.9432,0.934,0.9362,0.9403,0.8641,0.7648,0.6518,0.4949,1.0244,0.997,1.0199,0.992,0.9543,0.9703,0.9456,0.8884,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9825,0.9832,1.0104,0.976,0.9567,0.9587,0.9014,0.8303,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
16,,,,,,,,,,,,1.0838,1.1067,1.1178,1.0711,1.0617,1.1057,1.0732,0.9572,0.9694,0.9609,0.9452,0.8761,0.7961,0.7343,0.6319,0.4274,40.82,33.72,108.26,252.18,101.05,86.81,95.86,98.86,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,57.32,45.56,198.41,227.98,128.36,114.3,114.72,139.99,41.8,38.78,42.62,37.41,32.66,32.77,31.31,24.72,115.03,199.65,892.2,318.1,669.5,267.3,224.2,1418.8,1600.8,25.3,43.0,141.56,142.01,97.27,70.05,48.48,41.59,81.27,72.14,91.49,109.29,138.86,119.47,0.9756,0.9662,0.9471,0.8774,0.8187,0.7477,0.6495,0.4344,1.0143,1.0275,1.0247,1.0201,0.992,0.9238,0.846,0.7059,1.0812,1.0884,1.0705,1.0558,1.0415,1.0654,1.0609,1.0171,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0693,1.0919,1.1253,1.0612,1.028,1.0618,1.0155,0.9354,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
17,,,,,,,,,,,,1.2255,1.3113,1.2771,1.2462,1.2757,1.4067,1.3794,1.2726,1.0079,1.0327,1.0329,0.9737,0.9571,0.9409,0.9031,0.6572,46.16,39.96,123.69,293.42,121.42,110.44,123.22,131.45,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,56.94,45.07,194.06,225.01,126.96,112.83,113.55,135.14,45.63,43.05,46.92,42.17,37.6,38.29,37.88,33.53,114.72,208.13,950.8,318.4,839.4,359.7,545.6,1470.2,1129.6,25.3,60.3,162.17,164.93,130.86,107.61,89.62,78.67,97.09,100.64,142.1,141.56,148.24,118.7,1.0092,1.0327,1.0327,0.9735,0.9629,0.9385,0.911,0.6542,1.1538,1.196,1.1666,1.1443,1.1958,1.2,1.1599,1.0659,1.173,1.2198,1.1492,1.1515,1.1565,1.1829,1.1666,1.1462,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.185,1.2941,1.2828,1.2001,1.1794,1.2285,1.2045,1.1167,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
18,,,,,,,,,,,,1.3174,1.4441,1.3402,1.3545,1.4525,1.6145,1.5787,1.5416,1.063,1.12,1.1264,1.1094,1.174,1.2047,1.2701,1.1413,49.62,44.01,129.8,318.91,138.24,126.76,141.02,159.23,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,56.56,44.86,190.83,222.78,125.64,111.36,112.2,131.31,47.55,45.25,49.16,44.65,40.27,41.27,41.7,39.81,115.01,167.85,1016.0,319.1,1168.9,536.5,1204.0,1513.6,585.6,25.4,83.7,154.3,172.99,164.98,138.62,117.37,107.69,117.32,133.32,196.43,146.06,134.87,111.88,1.0591,1.1169,1.1252,1.1072,1.1562,1.1992,1.2649,1.1082,1.2549,1.3513,1.2727,1.2507,1.3582,1.4914,1.531,1.5175,1.2614,1.3396,1.2175,1.2487,1.3008,1.3253,1.2649,1.2567,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2775,1.4606,1.4885,1.2846,1.2881,1.325,1.3414,1.2532,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
19,,,,,,,,,,,,1.2799,1.3655,1.2612,1.3122,1.3938,1.5878,1.5373,1.645,1.1092,1.1858,1.1846,1.2385,1.3689,1.4283,1.6149,1.6511,48.21,41.61,122.15,308.94,132.65,124.66,137.33,169.91,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,56.26,44.45,187.82,220.26,124.59,110.0,110.94,127.36,46.65,44.36,48.37,43.87,39.65,40.82,41.67,41.26,107.51,159.04,1032.5,320.2,1488.9,706.5,1811.5,1539.7,180.5,25.5,105.4,138.4,161.08,156.22,144.38,145.18,143.12,137.6,144.5,145.46,108.44,121.34,104.67,1.1045,1.1819,1.1834,1.2355,1.349,1.4127,1.5933,1.5871,1.2311,1.2996,1.2472,1.2366,1.3619,1.5253,1.6225,1.7094,1.2736,1.334,1.1886,1.2406,1.3131,1.3272,1.2891,1.2902,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2799,1.3896,1.3794,1.2762,1.3075,1.3217,1.3713,1.3262,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
20,,,,,,,,,,,,1.1608,1.1902,1.1297,1.1945,1.2454,1.3191,1.3475,1.5169,1.1317,1.2032,1.189,1.2729,1.4044,1.5666,1.7713,1.8921,43.73,36.27,109.42,281.23,118.53,103.56,120.37,156.68,38.0,7.0,0.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,56.02,44.01,184.58,218.5,123.0,108.78,109.85,124.82,43.68,41.36,45.54,40.98,36.89,38.26,39.1,39.16,114.41,583.4,1038.3,321.0,1640.3,816.1,2072.5,1574.7,19.9,25.4,115.1,121.49,143.7,132.12,118.3,128.36,143.15,137.74,121.17,107.36,89.02,106.32,97.76,1.1274,1.1996,1.1886,1.2702,1.3849,1.5552,1.7396,1.8374,1.1406,1.1632,1.1436,1.1447,1.254,1.4086,1.5049,1.617,1.188,1.2048,1.1014,1.1411,1.183,1.1876,1.1799,1.2227,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1719,1.2302,1.1653,1.1759,1.2173,1.2175,1.2525,1.2922,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
21,,,,,,,,,,,,1.0661,1.0817,1.0279,1.1062,1.1294,1.1483,1.1921,1.3579,1.0931,1.1571,1.1361,1.2047,1.3159,1.4297,1.5968,1.7694,40.16,32.96,99.56,260.44,107.49,90.16,106.49,140.26,38.0,7.0,2.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,55.78,43.66,180.3,216.01,121.88,107.2,108.61,122.05,40.61,38.4,42.71,38.08,33.93,35.43,36.15,36.2,113.54,301.15,1013.4,321.3,1576.2,731.7,1874.4,1612.0,0.2,25.4,104.1,109.97,129.95,114.94,104.39,110.03,118.92,121.88,106.01,93.74,81.64,97.46,90.89,1.0897,1.1552,1.1355,1.2022,1.2976,1.4193,1.5725,1.7333,1.093,1.0785,1.0677,1.0668,1.1592,1.3414,1.4276,1.533,1.07,1.0885,1.0152,1.0531,1.0598,1.0611,1.0864,1.1521,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0919,1.1243,1.0385,1.097,1.1309,1.1284,1.1445,1.2173,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
22,,,,,,,,,,,,0.9764,0.9834,0.9357,1.0077,1.034,1.0355,1.087,1.2266,1.0384,1.0688,1.064,1.1015,1.1978,1.2844,1.3924,1.5608,36.78,29.96,90.63,237.25,98.41,81.3,97.1,126.7,38.0,7.0,2.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,55.51,43.21,177.0,214.9,120.58,105.63,107.32,119.75,37.49,35.39,39.79,35.24,31.02,32.54,33.23,33.31,113.7,238.6,961.4,321.5,1412.6,577.0,1430.4,1634.6,0.1,25.6,91.2,105.44,124.96,106.91,93.56,95.93,99.88,107.74,95.75,81.02,73.23,93.76,89.02,1.0358,1.0676,1.0626,1.0995,1.1825,1.2758,1.378,1.5458,1.0322,1.0283,1.0044,1.0114,1.0771,1.2482,1.3032,1.4165,0.9616,0.9734,0.9505,0.9902,0.9941,0.9941,1.0255,1.0684,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0143,1.038,0.9507,1.0152,1.0514,1.0351,1.0572,1.1328,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
23,,,,,,,,,,,,0.874,0.879,0.8442,0.9271,0.951,0.9563,1.0087,1.149,1.0153,1.0094,1.0209,1.0566,1.121,1.1828,1.2811,1.4561,32.92,26.79,81.76,218.28,90.51,75.08,90.11,118.68,38.0,7.0,2.0,6.0,28.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,6.0,55.26,42.93,173.89,212.6,119.96,104.44,106.43,117.79,34.32,32.36,36.82,32.54,28.27,29.82,30.42,30.76,58.23,159.03,887.8,321.2,1215.3,469.6,1071.6,1643.3,0.1,25.5,84.0,93.76,115.79,98.08,89.93,91.23,90.62,101.87,91.49,76.12,70.05,84.06,80.13,1.0143,1.0089,1.0216,1.0551,1.1062,1.1773,1.2685,1.4542,0.9486,0.9524,0.9338,0.933,0.9988,1.0767,1.1322,1.2804,0.9255,0.9238,0.9243,0.9389,0.9563,0.9548,0.9868,1.0565,0.0,0.0,0.0,0.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565,0.9448,0.8866,0.9368,0.9456,0.9401,0.9673,1.0376,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
24,,,,,,,,,,,,0.813,0.8075,0.8111,0.8721,0.8831,0.8994,0.9592,1.0962,0.9624,0.94,0.9829,1.0053,1.0393,1.0911,1.1575,1.3657,30.62,24.6,78.56,205.34,84.05,70.62,85.68,113.23,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,6.0,55.04,42.61,168.84,210.25,118.76,102.98,105.42,115.12,32.24,30.32,34.74,30.73,26.36,27.86,28.48,29.01,40.6,116.23,822.4,321.1,1105.7,399.1,767.5,1646.7,0.1,25.7,76.2,94.44,112.77,95.07,84.19,84.48,83.39,95.21,85.94,72.22,64.59,82.19,75.67,0.9671,0.9414,0.9837,1.0047,1.0263,1.0869,1.1509,1.3656,0.8771,0.8444,0.8754,0.8729,0.9083,0.9339,0.9906,1.1952,0.889,0.8659,0.8998,0.9074,0.9209,0.9179,0.9508,1.019,0.0,0.0,0.0,0.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,16.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795,0.8015,0.8081,0.8594,0.8655,0.863,0.9053,0.9842,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,12.0,54.94,42.22,162.82,208.97,117.62,101.72,104.72,113.0,,,,,,,,,63.55,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,16.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,12.0,54.66,41.94,157.7,206.4,116.08,100.28,103.87,110.85,,,,,,,,,23.89,132.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,16.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,1.0,12.0,54.47,41.63,152.54,204.86,115.09,99.64,102.68,108.4,,,,,,,,,10.1,118.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,2.0,1.0,8.0,0.0,0.0,0.0,2.0,16.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,9.0,12.0,54.1,41.36,147.35,202.6,114.21,98.6,101.45,106.43,,,,,,,,,57.33,149.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,2.0,9.0,8.0,0.0,0.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,7.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,9.0,12.0,53.96,41.06,141.42,200.49,113.21,96.9,100.39,104.24,,,,,,,,,75.64,150.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,2.0,9.0,8.0,0.0,0.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,8.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,0.0,0.0,21.0,2.0,13.0,18.0,53.6,40.7,137.78,199.84,112.16,95.41,99.62,102.91,,,,,,,,,92.43,180.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,2.0,13.0,18.0,0.0,0.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,13.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,6.0,0.0,21.0,2.0,13.0,35.0,53.29,40.37,132.5,197.65,111.0,94.2,98.21,101.15,,,,,,,,,113.12,185.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,21.0,2.0,13.0,35.0,0.0,0.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,14.0,17.0,5.0,3.0,0.0,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,24.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,39.0,53.03,40.1,127.38,195.98,110.01,92.28,96.84,99.38,,,,,,,,,103.4,168.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,21.0,2.0,13.0,47.0,0.0,1.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,2.0,0.0,14.0,17.0,5.0,3.0,0.0,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,49.0,52.84,40.0,122.81,194.6,109.48,90.57,95.15,97.92,,,,,,,,,111.88,173.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,21.0,2.0,13.0,65.0,0.0,1.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,2.0,0.0,14.0,17.0,5.0,3.0,0.0,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,22.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,58.0,52.54,39.79,119.97,192.42,108.26,89.73,93.94,96.33,,,,,,,,,115.29,243.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,21.0,2.0,13.0,79.0,0.0,1.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,5.0,0.0,14.0,17.0,5.0,3.0,0.0,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.0,2.0,6.0,28.0,28.0,17.0,12.0,0.0,0.0,10.0,0.0,21.0,2.0,13.0,60.0,52.27,39.53,116.73,190.2,107.0,87.99,92.38,94.73,,,,,,,,,113.17,211.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,21.0,2.0,13.0,85.0,0.0,1.0,0.0,2.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,5.0,0.0,14.0,17.0,8.0,3.0,0.0,,
