doy,DE_2019_min,DE_2020_min,DE_2021_min,DE_2022_min,DE_2023_min,DE_2024_min,DE_2025_min,DE_2026_min,DE_2027_min,DE_2028_min,DE_2029_min,DE_2030_min,DE_2031_min,DE_2032_min,DE_2033_min,DE_2034_min,DE_2035_min,ES_2019_min,ES_2020_min,ES_2021_min,ES_2022_min,ES_2023_min,ES_2024_min,ES_2025_min,ES_2026_min,ES_2027_min,ES_2028_min,ES_2029_min,ES_2030_min,ES_2031_min,ES_2032_min,ES_2033_min,ES_2034_min,ES_2035_min,PT_2019_min,PT_2020_min,PT_2021_min,PT_2022_min,PT_2023_min,PT_2024_min,PT_2025_min,PT_2026_min,PT_2027_min,PT_2028_min,PT_2029_min,PT_2030_min,PT_2031_min,PT_2032_min,PT_2033_min,PT_2034_min,PT_2035_min,FR_2019_min,FR_2020_min,FR_2021_min,FR_2022_min,FR_2023_min,FR_2024_min,FR_2025_min,FR_2026_min,FR_2027_min,FR_2028_min,FR_2029_min,FR_2030_min,FR_2031_min,FR_2032_min,FR_2033_min,FR_2034_min,FR_2035_min,IT_2019_min,IT_2020_min,IT_2021_min,IT_2022_min,IT_2023_min,IT_2024_min,IT_2025_min,IT_2026_min,IT_2027_min,IT_2028_min,IT_2029_min,IT_2030_min,IT_2031_min,IT_2032_min,IT_2033_min,IT_2034_min,IT_2035_min,DE_2019_max,DE_2020_max,DE_2021_max,DE_2022_max,DE_2023_max,DE_2024_max,DE_2025_max,DE_2026_max,DE_2027_max,DE_2028_max,DE_2029_max,DE_2030_max,DE_2031_max,DE_2032_max,DE_2033_max,DE_2034_max,DE_2035_max,ES_2019_max,ES_2020_max,ES_2021_max,ES_2022_max,ES_2023_max,ES_2024_max,ES_2025_max,ES_2026_max,ES_2027_max,ES_2028_max,ES_2029_max,ES_2030_max,ES_2031_max,ES_2032_max,ES_2033_max,ES_2034_max,ES_2035_max,PT_2019_max,PT_2020_max,PT_2021_max,PT_2022_max,PT_2023_max,PT_2024_max,PT_2025_max,PT_2026_max,PT_2027_max,PT_2028_max,PT_2029_max,PT_2030_max,PT_2031_max,PT_2032_max,PT_2033_max,PT_2034_max,PT_2035_max,FR_2019_max,FR_2020_max,FR_2021_max,FR_2022_max,FR_2023_max,FR_2024_max,FR_2025_max,FR_2026_max,FR_2027_max,FR_2028_max,FR_2029_max,FR_2030_max,FR_2031_max,FR_2032_max,FR_2033_max,FR_2034_max,FR_2035_max,IT_2019_max,IT_2020_max,IT_2021_max,IT_2022_max,IT_2023_max,IT_2024_max,IT_2025_max,IT_2026_max,IT_2027_max,IT_2028_max,IT_2029_max,IT_2030_max,IT_2031_max,IT_2032_max,IT_2033_max,IT_2034_max,IT_2035_max,DE_2019_mean,DE_2020_mean,DE_2021_mean,DE_2022_mean,DE_2023_mean,DE_2024_mean,DE_2025_mean,DE_2026_mean,DE_2027_mean,DE_2028_mean,DE_2029_mean,DE_2030_mean,DE_2031_mean,DE_2032_mean,DE_2033_mean,DE_2034_mean,DE_2035_mean,ES_2019_mean,ES_2020_mean,ES_2021_mean,ES_2022_mean,ES_2023_mean,ES_2024_mean,ES_2025_mean,ES_2026_mean,ES_2027_mean,ES_2028_mean,ES_2029_mean,ES_2030_mean,ES_2031_mean,ES_2032_mean,ES_2033_mean,ES_2034_mean,ES_2035_mean,PT_2019_mean,PT_2020_mean,PT_2021_mean,PT_2022_mean,PT_2023_mean,PT_2024_mean,PT_2025_mean,PT_2026_mean,PT_2027_mean,PT_2028_mean,PT_2029_mean,PT_2030_mean,PT_2031_mean,PT_2032_mean,PT_2033_mean,PT_2034_mean,PT_2035_mean,FR_2019_mean,FR_2020_mean,FR_2021_mean,FR_2022_mean,FR_2023_mean,FR_2024_mean,FR_2025_mean,FR_2026_mean,FR_2027_mean,FR_2028_mean,FR_2029_mean,FR_2030_mean,FR_2031_mean,FR_2032_mean,FR_2033_mean,FR_2034_mean,FR_2035_mean,IT_2019_mean,IT_2020_mean,IT_2021_mean,IT_2022_mean,IT_2023_mean,IT_2024_mean,IT_2025_mean,IT_2026_mean,IT_2027_mean,IT_2028_mean,IT_2029_mean,IT_2030_mean,IT_2031_mean,IT_2032_mean,IT_2033_mean,IT_2034_mean,IT_2035_mean
75,-2.68,-33.8,43.08,129.27,48.45,36.87,0.19,12.04,,,,,,,,,,40.07,14.0,21.6,191.54,29.59,10.55,6.99,-1.76,,,,,,,,,,40.07,14.0,21.6,191.54,29.59,10.55,6.99,-1.76,,,,,,,,,,6.35,-3.21,43.08,238.5,78.93,10.55,9.94,4.23,,,,,,,,,,24.9,9.11,51.21,248.85,87.2,74.2,8.13,116.13,,,,,,,,,,34.18,30.18,77.71,319.13,142.35,87.99,140.0,179.89,,,,,,,,,,56.05,35.01,50.76,306.7,132.42,123.58,140.0,190.23,,,,,,,,,,56.05,35.01,50.76,306.7,132.42,123.58,140.0,190.23,,,,,,,,,,30.95,32.08,77.71,336.69,142.35,88.01,140.0,179.92,,,,,,,,,,71.42,41.39,81.98,354.0,218.0,107.0,140.0,179.5,,,,,,,,,,17.16,4.89,56.04,241.29,102.7,55.72,71.54,76.81,,,,,,,,,,51.04,26.19,33.62,261.63,86.26,38.16,60.6,41.42,,,,,,,,,,51.04,26.26,33.62,261.63,86.26,38.16,60.6,41.42,,,,,,,,,,17.01,13.93,56.26,278.03,105.71,42.64,73.35,66.92,,,,,,,,,,47.04,20.74,62.52,280.4,129.03,89.79,85.79,143.46,,,,,,,,,
76,-20.23,19.92,44.4,119.71,49.97,10.99,27.95,89.8,,,,,,,,,,5.48,19.92,8.43,184.49,27.83,0.43,50.24,-1.37,,,,,,,,,,28.84,19.92,8.43,184.49,27.83,0.43,50.24,-1.37,,,,,,,,,,-10.99,19.92,36.46,184.49,65.17,15.9,50.24,-0.01,,,,,,,,,,43.83,19.92,48.7,221.14,79.49,31.27,94.94,119.1,,,,,,,,,,36.66,61.96,85.0,347.21,134.36,87.31,177.33,207.3,,,,,,,,,,52.63,37.03,28.57,295.92,127.69,82.61,170.0,133.96,,,,,,,,,,52.63,37.03,28.57,295.92,127.69,82.61,170.0,109.86,,,,,,,,,,39.13,61.79,85.0,347.21,141.63,92.37,170.0,163.42,,,,,,,,,,70.71,61.79,87.23,338.92,203.75,123.84,170.0,179.51,,,,,,,,,,1.26,31.42,57.85,227.32,94.76,51.23,99.7,125.16,,,,,,,,,,34.29,27.07,17.35,217.04,71.59,31.19,88.12,46.09,,,,,,,,,,38.14,27.07,17.11,217.04,71.59,30.06,83.52,42.8,,,,,,,,,,9.81,30.8,56.38,258.46,102.85,52.46,97.28,68.69,,,,,,,,,,55.72,33.47,60.83,261.11,127.4,81.06,122.02,143.1,,,,,,,,,
77,6.03,22.02,47.03,196.67,80.42,40.15,-1.46,-2.71,,,,,,,,,,38.69,21.8,21.89,198.88,70.0,0.43,5.19,-0.01,,,,,,,,,,38.69,21.8,21.89,198.88,70.0,0.43,5.19,-0.01,,,,,,,,,,19.08,22.02,47.03,200.78,80.42,25.76,5.19,-0.4,,,,,,,,,,35.0,22.71,56.84,209.83,79.25,29.36,51.36,127.71,,,,,,,,,,48.44,38.23,98.71,291.51,169.54,94.31,170.91,177.62,,,,,,,,,,56.19,39.43,52.01,290.19,144.15,79.96,150.79,76.88,,,,,,,,,,56.19,39.43,52.01,290.19,144.15,79.06,150.79,76.88,,,,,,,,,,50.01,38.23,98.71,291.51,169.54,79.96,150.79,66.06,,,,,,,,,,79.31,56.26,99.7,293.45,213.78,113.74,165.07,183.39,,,,,,,,,,32.82,28.04,65.27,228.64,109.49,61.78,90.77,89.72,,,,,,,,,,49.18,28.7,33.13,234.65,101.56,29.26,56.68,28.49,,,,,,,,,,49.18,28.7,33.13,234.65,101.56,29.23,56.68,28.28,,,,,,,,,,38.92,28.16,64.67,234.7,109.84,46.7,76.01,25.61,,,,,,,,,,55.34,33.66,71.97,247.42,133.73,75.98,116.25,150.6,,,,,,,,,
78,36.42,20.34,43.16,8.84,94.04,57.14,-0.56,0.0,,,,,,,,,,41.29,23.69,21.1,187.07,50.0,35.0,0.0,-0.01,,,,,,,,,,41.29,23.69,21.1,187.07,50.0,35.0,0.0,-0.01,,,,,,,,,,36.42,20.34,39.83,93.7,94.04,35.0,0.0,-0.01,,,,,,,,,,49.8,20.34,57.91,204.07,94.04,63.07,96.3,71.31,,,,,,,,,,60.73,41.07,72.99,204.14,152.91,145.71,248.18,214.38,,,,,,,,,,56.57,40.38,46.85,285.02,152.91,125.16,117.38,80.12,,,,,,,,,,56.57,40.38,46.85,285.02,152.91,125.16,52.96,80.12,,,,,,,,,,60.73,40.38,72.99,285.02,152.91,125.16,152.83,100.53,,,,,,,,,,79.26,45.14,76.15,349.15,180.24,125.16,169.03,178.74,,,,,,,,,,45.3,26.61,56.36,126.26,112.57,81.58,104.8,115.22,,,,,,,,,,49.64,30.62,29.41,220.06,96.46,61.54,27.49,24.7,,,,,,,,,,49.64,30.62,29.41,220.06,96.46,59.19,21.41,24.7,,,,,,,,,,45.28,26.34,56.44,208.09,112.23,66.75,68.11,32.21,,,,,,,,,,61.08,29.28,64.01,253.38,123.44,92.85,124.68,139.63,,,,,,,,,
79,34.33,22.16,39.65,-19.04,99.96,54.47,0.43,65.61,,,,,,,,,,39.37,28.12,12.44,186.8,97.25,35.0,0.43,1.37,,,,,,,,,,39.37,28.12,12.44,186.8,97.25,35.0,0.43,1.38,,,,,,,,,,34.33,20.31,40.98,191.14,100.1,37.34,0.43,1.37,,,,,,,,,,47.15,22.16,57.49,191.14,117.51,64.13,68.82,77.57,,,,,,,,,,55.55,44.42,68.09,122.95,165.47,131.42,280.07,212.31,,,,,,,,,,55.55,36.42,46.01,250.0,165.47,128.96,101.6,98.72,,,,,,,,,,55.55,36.42,46.01,250.0,165.47,128.96,101.6,98.72,,,,,,,,,,55.55,33.64,68.09,292.92,165.47,128.96,101.87,132.72,,,,,,,,,,71.69,55.17,77.1,292.92,192.0,128.96,175.0,212.96,,,,,,,,,,41.38,28.63,50.54,50.3,125.04,81.74,108.63,142.98,,,,,,,,,,48.85,30.38,22.62,207.25,121.43,65.04,23.06,39.08,,,,,,,,,,48.85,30.38,22.62,207.25,121.43,64.36,23.06,39.08,,,,,,,,,,41.85,25.26,51.21,220.41,125.1,68.72,44.85,54.86,,,,,,,,,,54.7,30.87,65.25,227.94,137.51,93.68,125.22,158.11,,,,,,,,,
80,33.04,18.23,13.8,118.82,77.06,61.43,0.0,23.49,,,,,,,,,,44.01,24.09,19.6,189.99,99.0,27.0,0.18,4.96,,,,,,,,,,44.01,24.09,19.6,189.99,99.0,27.0,0.18,4.96,,,,,,,,,,33.04,13.75,21.2,189.99,79.93,27.0,0.18,0.86,,,,,,,,,,38.44,21.59,44.4,194.05,112.19,68.19,107.51,59.96,,,,,,,,,,55.0,35.0,64.82,336.98,145.49,168.54,156.0,171.62,,,,,,,,,,56.55,35.03,59.18,287.57,145.66,100.76,40.0,93.03,,,,,,,,,,56.55,35.03,59.18,287.57,145.66,100.76,40.0,93.03,,,,,,,,,,55.0,28.92,64.82,336.98,145.66,124.69,60.74,93.03,,,,,,,,,,71.28,53.32,74.21,336.98,190.0,156.39,156.87,195.09,,,,,,,,,,39.94,24.85,35.83,210.29,113.23,91.35,69.44,112.58,,,,,,,,,,52.73,27.97,30.91,229.89,118.85,55.49,10.2,42.11,,,,,,,,,,52.84,27.97,30.91,229.89,118.85,55.49,10.14,42.11,,,,,,,,,,40.08,20.65,40.32,243.17,114.83,59.28,30.59,41.21,,,,,,,,,,51.26,30.58,54.92,243.49,133.74,100.51,130.31,148.75,,,,,,,,,
81,34.3,0.39,47.01,183.66,16.99,56.34,-15.18,-11.76,,,,,,,,,,54.8,22.54,47.01,194.75,59.1,10.61,-0.01,-3.53,,,,,,,,,,54.8,22.54,47.01,194.75,59.1,10.61,-0.01,-2.76,,,,,,,,,,34.3,1.95,47.01,194.75,59.1,31.69,4.65,-3.53,,,,,,,,,,42.96,11.07,47.01,205.8,105.5,70.38,102.85,135.1,,,,,,,,,,50.98,20.12,90.47,351.0,139.85,127.13,60.03,174.19,,,,,,,,,,57.5,34.83,75.0,278.9,140.0,84.0,76.01,77.22,,,,,,,,,,57.5,34.83,75.0,278.9,140.0,84.0,76.01,77.22,,,,,,,,,,50.98,23.86,90.47,351.0,140.0,108.7,85.17,126.48,,,,,,,,,,77.2,46.08,91.47,351.0,195.0,122.01,147.42,193.96,,,,,,,,,,40.43,10.29,60.68,236.17,79.8,80.56,14.41,84.52,,,,,,,,,,55.68,27.76,56.25,226.0,100.84,35.49,12.54,25.78,,,,,,,,,,55.68,27.76,56.25,226.0,100.84,35.49,12.54,25.87,,,,,,,,,,40.3,11.3,61.31,239.78,88.69,52.97,29.65,40.71,,,,,,,,,,54.95,26.34,63.1,242.15,132.81,95.6,124.4,161.13,,,,,,,,,
82,28.25,-55.05,47.59,181.07,33.17,49.69,5.01,48.08,,,,,,,,,,43.43,23.5,55.0,180.28,42.06,1.1,0.0,-0.02,,,,,,,,,,43.43,23.5,55.0,180.28,42.06,1.1,0.0,-0.02,,,,,,,,,,28.52,-25.08,52.56,196.8,42.06,14.7,5.01,0.26,,,,,,,,,,28.52,12.76,50.09,191.73,104.4,74.54,102.6,130.94,,,,,,,,,,44.99,22.93,83.49,374.14,144.38,121.59,142.51,263.01,,,,,,,,,,55.01,32.57,83.49,249.3,122.61,57.3,125.92,146.4,,,,,,,,,,55.01,32.57,80.0,249.3,122.61,57.3,125.92,146.4,,,,,,,,,,44.99,22.93,83.49,374.14,144.43,74.73,125.92,214.65,,,,,,,,,,73.06,33.14,83.49,374.14,209.59,113.47,153.18,223.89,,,,,,,,,,35.76,-0.76,62.04,236.44,74.17,69.43,59.0,142.33,,,,,,,,,,50.73,27.61,64.57,212.49,82.04,21.5,29.34,35.91,,,,,,,,,,50.73,27.61,64.43,212.49,82.32,20.98,28.58,35.91,,,,,,,,,,35.75,6.16,63.47,242.5,80.79,35.01,51.9,87.14,,,,,,,,,,46.56,24.12,61.41,238.66,142.45,94.58,120.21,165.3,,,,,,,,,
83,23.79,9.28,43.95,181.94,2.07,-8.45,98.94,-0.02,,,,,,,,,,39.0,23.4,58.07,183.15,11.22,0.0,0.65,-0.04,,,,,,,,,,39.0,23.4,58.07,183.15,29.25,0.0,0.65,-0.04,,,,,,,,,,23.79,9.28,46.9,211.78,11.22,-7.1,61.64,-0.0,,,,,,,,,,37.15,9.28,51.97,201.04,90.82,30.98,105.39,27.74,,,,,,,,,,42.6,33.14,84.0,371.11,116.23,72.47,211.99,137.99,,,,,,,,,,52.1,33.99,84.0,270.0,116.23,9.01,179.1,151.82,,,,,,,,,,52.1,33.99,84.0,270.0,116.23,9.01,179.1,151.82,,,,,,,,,,42.67,33.14,84.0,371.11,116.23,37.06,179.1,127.72,,,,,,,,,,68.85,33.14,87.14,371.11,190.0,109.0,179.1,188.51,,,,,,,,,,32.85,17.17,55.83,240.06,51.46,35.67,129.53,71.01,,,,,,,,,,44.12,28.76,64.83,227.45,58.86,1.88,44.48,53.25,,,,,,,,,,44.64,28.76,64.71,227.45,60.79,1.88,44.48,52.57,,,,,,,,,,32.74,16.92,61.27,249.95,56.03,9.31,102.67,47.54,,,,,,,,,,47.04,17.46,62.2,246.28,131.09,80.34,131.78,139.26,,,,,,,,,
84,20.89,13.0,46.07,169.75,-6.02,0.0,68.45,-0.03,,,,,,,,,,30.0,20.74,57.49,226.01,0.0,0.0,0.0,-0.88,,,,,,,,,,34.85,20.74,57.49,226.01,10.43,0.0,0.0,-0.88,,,,,,,,,,21.12,13.0,48.0,226.01,-0.03,0.0,56.78,-0.01,,,,,,,,,,34.73,15.0,52.5,240.44,3.02,0.58,103.1,41.59,,,,,,,,,,46.45,33.8,85.43,339.9,77.04,75.0,166.36,161.93,,,,,,,,,,51.96,34.06,85.43,300.0,77.0,35.0,160.86,39.84,,,,,,,,,,51.96,34.06,80.62,300.0,77.0,35.0,160.86,39.84,,,,,,,,,,47.01,33.78,85.43,339.9,84.37,74.46,160.86,82.85,,,,,,,,,,72.74,51.01,94.27,352.74,197.0,95.47,168.44,183.27,,,,,,,,,,32.66,20.56,58.76,243.27,15.68,27.14,111.74,41.76,,,,,,,,,,42.36,27.81,66.32,264.0,38.85,8.14,42.69,17.56,,,,,,,,,,44.3,27.81,65.7,262.99,42.16,7.8,42.71,17.6,,,,,,,,,,34.23,20.22,59.42,272.94,27.32,18.44,93.66,18.84,,,,,,,,,,49.45,27.11,66.05,276.1,101.25,55.74,126.76,138.14,,,,,,,,,
85,30.01,17.57,34.73,80.38,39.23,61.85,84.5,0.63,,,,,,,,,,30.21,28.01,43.0,199.69,0.0,2.1,-0.5,-2.86,,,,,,,,,,30.21,28.01,43.0,199.69,0.0,2.1,0.0,-2.86,,,,,,,,,,30.21,17.57,39.96,196.61,40.0,16.44,72.06,0.0,,,,,,,,,,38.0,19.21,58.0,196.61,32.41,69.68,102.99,119.84,,,,,,,,,,49.4,34.88,69.01,292.24,117.86,174.7,169.54,167.22,,,,,,,,,,51.64,34.48,69.01,292.24,104.63,75.75,126.66,35.0,,,,,,,,,,51.64,34.48,69.01,292.24,104.63,44.96,126.66,35.0,,,,,,,,,,49.4,34.48,69.01,292.24,117.86,113.87,153.43,165.14,,,,,,,,,,73.6,40.49,84.77,292.24,195.93,145.0,171.98,172.63,,,,,,,,,,36.64,23.08,50.98,189.51,73.91,85.28,114.7,92.3,,,,,,,,,,41.19,31.39,59.5,237.11,33.34,22.42,38.13,5.02,,,,,,,,,,41.24,31.39,59.5,237.11,33.34,20.16,38.23,5.02,,,,,,,,,,37.44,22.45,53.51,229.94,74.09,45.72,98.57,72.87,,,,,,,,,,51.38,25.46,65.66,233.99,106.1,98.55,125.75,144.19,,,,,,,,,
86,32.73,15.32,-49.9,77.97,42.74,11.49,6.67,59.6,,,,,,,,,,36.62,16.82,26.5,173.75,49.25,0.0,-0.01,-5.0,,,,,,,,,,36.62,19.4,26.5,173.75,49.25,0.0,0.0,-5.0,,,,,,,,,,32.73,15.71,9.69,93.99,80.51,19.57,6.67,50.99,,,,,,,,,,39.99,18.32,49.67,93.99,81.31,79.15,104.26,118.64,,,,,,,,,,47.91,34.64,66.1,281.68,151.31,100.75,170.7,176.4,,,,,,,,,,53.86,32.46,66.1,285.0,187.6,14.0,150.0,62.4,,,,,,,,,,53.86,32.46,66.1,285.0,187.6,14.0,150.0,62.4,,,,,,,,,,48.06,32.46,66.1,285.0,187.6,100.3,150.0,176.02,,,,,,,,,,69.66,34.4,76.27,285.0,212.19,119.8,171.43,182.91,,,,,,,,,,40.03,22.3,24.73,198.61,91.14,65.25,98.35,117.52,,,,,,,,,,47.68,22.59,41.29,217.18,105.2,2.36,52.84,9.31,,,,,,,,,,47.68,22.78,41.29,217.18,105.2,2.36,52.85,9.31,,,,,,,,,,39.81,21.38,36.56,206.78,121.26,48.36,80.29,113.97,,,,,,,,,,50.84,24.42,58.14,206.08,141.38,99.04,123.5,147.97,,,,,,,,,
87,33.12,15.64,-49.99,130.99,84.67,57.09,-0.03,6.7,,,,,,,,,,43.44,18.25,19.0,195.01,70.43,0.0,-1.24,-5.0,,,,,,,,,,43.44,18.25,19.0,195.01,70.43,0.0,-0.1,-5.0,,,,,,,,,,32.86,15.66,-24.61,195.01,92.9,19.41,8.02,1.83,,,,,,,,,,38.59,18.25,46.4,200.89,64.89,78.35,83.79,14.91,,,,,,,,,,52.77,30.0,48.34,316.95,161.0,125.93,165.99,154.07,,,,,,,,,,55.01,30.75,55.75,288.86,160.0,3.2,86.9,11.48,,,,,,,,,,55.01,30.75,55.75,288.86,160.0,3.2,86.9,11.48,,,,,,,,,,52.77,30.0,55.75,374.32,175.08,95.41,122.2,154.07,,,,,,,,,,70.49,52.12,89.79,354.33,184.42,121.0,163.97,171.46,,,,,,,,,,42.6,21.58,17.77,222.9,114.47,77.16,89.33,81.81,,,,,,,,,,50.98,25.34,38.12,233.21,109.36,0.64,24.12,2.74,,,,,,,,,,50.98,25.34,38.12,233.21,109.36,0.64,24.44,2.74,,,,,,,,,,40.75,21.48,27.52,251.62,121.92,49.14,61.54,62.83,,,,,,,,,,49.38,30.32,62.88,252.65,119.99,96.14,115.15,114.42,,,,,,,,,
88,32.4,-0.72,17.13,208.96,82.25,0.04,2.06,-2.1,,,,,,,,,,50.53,24.0,19.69,210.0,4.16,0.0,-2.2,-9.82,,,,,,,,,,50.53,24.0,19.69,210.0,4.16,0.0,-1.01,-9.82,,,,,,,,,,32.4,-0.02,19.69,210.0,82.9,0.05,3.94,0.32,,,,,,,,,,39.84,25.0,52.54,210.0,82.52,74.37,107.76,10.05,,,,,,,,,,49.54,21.93,70.86,318.74,152.0,83.19,152.22,115.03,,,,,,,,,,54.92,31.48,68.15,279.6,121.87,3.2,20.16,12.52,,,,,,,,,,54.92,31.48,68.15,279.6,121.87,3.2,20.16,12.52,,,,,,,,,,49.33,21.93,71.01,319.09,152.0,59.87,93.47,115.04,,,,,,,,,,79.23,51.14,91.09,319.09,195.0,115.63,158.46,189.49,,,,,,,,,,39.78,13.82,42.6,251.93,115.68,48.91,81.71,61.72,,,,,,,,,,53.04,27.87,46.48,250.39,63.8,0.73,3.92,0.54,,,,,,,,,,53.04,27.87,46.15,250.39,64.09,0.73,4.76,0.54,,,,,,,,,,39.26,13.71,47.59,263.03,114.26,16.92,42.02,45.14,,,,,,,,,,55.85,31.4,63.09,252.36,136.13,88.89,122.27,115.22,,,,,,,,,
89,25.45,-15.8,39.78,197.92,5.75,9.86,-26.07,3.82,,,,,,,,,,48.01,14.0,39.78,228.78,0.1,0.4,-5.21,-1.88,,,,,,,,,,48.01,15.8,39.78,228.78,0.1,0.4,-4.0,-1.88,,,,,,,,,,26.66,-10.79,39.78,229.08,9.53,9.86,-5.21,2.41,,,,,,,,,,26.79,17.0,47.51,235.92,92.0,70.0,9.83,122.13,,,,,,,,,,45.96,20.59,78.22,346.91,129.3,105.45,65.57,126.16,,,,,,,,,,54.54,26.1,76.73,282.69,91.0,21.42,35.01,64.02,,,,,,,,,,54.54,26.1,67.93,282.69,91.0,21.42,35.01,64.02,,,,,,,,,,44.95,20.59,78.22,411.92,129.3,105.5,66.34,133.71,,,,,,,,,,77.97,44.64,90.0,370.1,245.0,116.29,140.0,189.79,,,,,,,,,,35.15,5.05,56.31,268.65,79.69,39.79,14.63,66.79,,,,,,,,,,51.95,18.8,54.12,256.61,30.26,4.41,2.86,10.81,,,,,,,,,,51.95,20.24,53.52,256.61,30.26,4.41,3.26,10.81,,,,,,,,,,34.16,7.54,56.0,302.06,80.91,36.72,19.68,54.1,,,,,,,,,,49.38,28.76,62.25,294.27,153.44,92.26,90.22,152.61,,,,,,,,,
90,1.02,15.5,43.09,99.64,48.62,6.85,64.41,53.49,,,,,,,,,,45.94,13.0,42.2,175.65,0.19,0.43,-1.0,-2.99,,,,,,,,,,45.94,13.0,42.2,175.65,0.19,0.43,-0.1,-2.67,,,,,,,,,,-11.58,14.37,43.09,224.04,7.68,9.93,-0.01,54.76,,,,,,,,,,35.92,19.69,43.75,229.59,89.0,11.22,86.67,129.84,,,,,,,,,,41.8,38.93,96.8,324.23,137.64,88.11,183.96,176.0,,,,,,,,,,59.0,28.98,76.39,290.57,82.19,16.7,197.25,47.11,,,,,,,,,,59.0,28.98,69.53,290.57,82.19,16.7,197.25,47.11,,,,,,,,,,41.8,31.44,76.39,423.41,113.02,94.24,174.47,171.1,,,,,,,,,,70.97,47.72,91.94,376.07,190.0,101.98,175.67,199.46,,,,,,,,,,28.31,23.62,58.5,201.12,98.26,53.52,107.23,120.46,,,,,,,,,,51.9,18.96,54.94,233.96,20.62,4.21,36.24,7.29,,,,,,,,,,51.9,18.96,54.65,233.96,20.67,4.21,35.53,7.31,,,,,,,,,,26.44,22.02,56.82,294.15,74.83,51.65,62.15,111.8,,,,,,,,,,49.17,33.69,60.72,281.91,133.56,76.45,119.46,156.0,,,,,,,,,
91,26.93,17.5,36.26,94.48,33.5,1.03,10.89,86.33,,,,,,,,,,55.48,10.7,40.53,176.44,4.16,0.0,-0.07,-4.0,,,,,,,,,,55.48,10.7,40.53,176.44,4.16,0.0,5.8,-2.1,,,,,,,,,,26.5,15.83,40.53,248.97,35.41,1.03,-0.07,94.34,,,,,,,,,,38.68,19.01,50.49,244.39,33.4,2.05,92.5,135.69,,,,,,,,,,56.95,42.66,70.97,208.47,90.89,117.29,179.96,226.95,,,,,,,,,,60.95,30.01,66.6,319.32,63.78,3.2,159.37,35.02,,,,,,,,,,60.95,30.01,66.6,319.32,63.78,3.2,159.37,35.02,,,,,,,,,,53.56,29.02,70.97,470.02,97.03,48.46,159.37,199.98,,,,,,,,,,81.21,40.0,76.99,449.64,181.36,134.9,161.92,201.65,,,,,,,,,,37.8,25.14,52.36,161.2,55.1,54.1,91.65,143.01,,,,,,,,,,58.55,21.04,52.73,232.24,29.47,0.7,54.38,5.36,,,,,,,,,,58.55,21.04,52.73,232.24,29.47,0.7,56.35,5.74,,,,,,,,,,36.61,22.02,52.86,320.47,58.95,23.38,50.84,133.84,,,,,,,,,,60.04,24.96,61.27,308.32,110.02,85.57,118.19,159.25,,,,,,,,,
92,25.16,17.3,-20.95,120.6,14.21,-0.01,-21.02,42.46,,,,,,,,,,53.41,19.25,35.0,93.69,0.0,-0.01,-0.02,-5.0,,,,,,,,,,53.41,19.25,35.0,93.69,0.0,0.0,-0.02,-1.51,,,,,,,,,,26.13,17.46,2.39,262.8,17.52,-0.01,-0.02,61.11,,,,,,,,,,46.22,17.68,39.18,234.93,78.0,0.7,100.0,122.62,,,,,,,,,,43.78,34.97,60.67,259.15,131.5,64.49,150.31,161.84,,,,,,,,,,60.01,31.01,60.67,300.0,52.62,21.43,104.9,35.01,,,,,,,,,,60.01,31.01,60.67,300.0,52.62,21.43,104.9,35.01,,,,,,,,,,44.54,29.43,60.67,350.0,132.81,42.93,104.9,160.01,,,,,,,,,,77.82,40.68,74.25,340.63,197.45,90.38,157.73,179.99,,,,,,,,,,34.16,23.55,35.52,172.87,70.92,32.15,61.57,114.43,,,,,,,,,,57.65,26.41,49.62,224.66,18.39,3.02,26.95,5.35,,,,,,,,,,57.65,26.41,49.62,224.66,18.82,3.02,26.97,6.18,,,,,,,,,,35.89,23.17,40.37,301.91,75.0,14.96,28.21,110.23,,,,,,,,,,57.48,25.5,56.57,277.69,136.68,65.93,121.86,147.65,,,,,,,,,
93,31.08,4.62,9.75,91.81,71.66,-1.09,-8.4,1.65,,,,,,,,,,41.73,17.07,3.0,129.99,19.2,0.0,0.0,-5.0,,,,,,,,,,41.73,17.07,15.65,129.99,19.2,0.0,0.0,-5.0,,,,,,,,,,31.08,12.65,3.0,217.84,71.56,0.0,-0.01,3.12,,,,,,,,,,44.15,20.8,41.1,221.54,104.8,35.1,53.67,31.51,,,,,,,,,,54.72,27.8,59.23,211.79,167.54,95.39,163.48,135.86,,,,,,,,,,60.0,28.1,53.2,284.03,165.33,35.0,80.0,80.62,,,,,,,,,,58.92,28.1,53.2,284.03,165.33,33.42,80.0,80.62,,,,,,,,,,54.72,27.8,53.2,475.75,195.0,81.45,134.65,136.59,,,,,,,,,,86.79,47.82,93.14,435.0,191.19,120.0,176.85,170.24,,,,,,,,,,42.54,19.68,39.92,165.32,114.99,39.05,80.72,74.76,,,,,,,,,,52.61,23.62,34.52,219.99,64.27,9.77,20.75,15.53,,,,,,,,,,52.55,23.85,35.83,220.23,64.87,6.46,20.75,15.53,,,,,,,,,,43.49,21.59,35.13,295.13,122.77,19.71,51.09,67.16,,,,,,,,,,60.16,29.49,59.04,281.73,141.12,77.6,119.59,122.46,,,,,,,,,
