country,year,pct_of_hours,price
DE,2019,0.0,121.46
DE,2019,1.0,72.517
DE,2019,2.0,66.746
DE,2019,3.0,62.447
DE,2019,4.0,60.0
DE,2019,5.0,58.29
DE,2019,6.0,56.823
DE,2019,7.0,55.589
DE,2019,8.0,54.808
DE,2019,9.0,54.0
DE,2019,10.0,53.2
DE,2019,11.0,52.735
DE,2019,12.0,52.009
DE,2019,13.0,51.47
DE,2019,14.0,51.0
DE,2019,15.0,50.503
DE,2019,16.0,50.02
DE,2019,17.0,49.71
DE,2019,18.0,49.104
DE,2019,19.0,48.728
DE,2019,20.0,48.164
DE,2019,21.0,47.9
DE,2019,22.0,47.47
DE,2019,23.0,46.99
DE,2019,24.0,46.688
DE,2019,25.0,46.27
DE,2019,26.0,45.93
DE,2019,27.0,45.51
DE,2019,28.0,45.065
DE,2019,29.0,44.839
DE,2019,30.0,44.4
DE,2019,31.0,44.03
DE,2019,32.0,43.85
DE,2019,33.0,43.4
DE,2019,34.0,43.0
DE,2019,35.0,42.7
DE,2019,36.0,42.31
DE,2019,37.0,41.952
DE,2019,38.0,41.58
DE,2019,39.0,41.17
DE,2019,40.0,40.914
DE,2019,41.0,40.58
DE,2019,42.0,40.19
DE,2019,43.0,39.97
DE,2019,44.0,39.74
DE,2019,45.0,39.434
DE,2019,46.0,39.13
DE,2019,47.0,38.95
DE,2019,48.0,38.68
DE,2019,49.0,38.38
DE,2019,50.0,38.065
DE,2019,51.0,37.869
DE,2019,52.0,37.56
DE,2019,53.0,37.32
DE,2019,54.0,37.07
DE,2019,55.0,36.92
DE,2019,56.0,36.63
DE,2019,57.0,36.32
DE,2019,58.0,36.116
DE,2019,59.0,35.94
DE,2019,60.0,35.69
DE,2019,61.0,35.46
DE,2019,62.0,35.24
DE,2019,63.0,35.02
DE,2019,64.0,34.9
DE,2019,65.0,34.546
DE,2019,66.0,34.241
DE,2019,67.0,34.0
DE,2019,68.0,33.629
DE,2019,69.0,33.23
DE,2019,70.0,33.01
DE,2019,71.0,32.69
DE,2019,72.0,32.3
DE,2019,73.0,31.98
DE,2019,74.0,31.51
DE,2019,75.0,31.06
DE,2019,76.0,30.762
DE,2019,77.0,30.29
DE,2019,78.0,30.03
DE,2019,79.0,29.8
DE,2019,80.0,29.368
DE,2019,81.0,29.0
DE,2019,82.0,28.62
DE,2019,83.0,28.15
DE,2019,84.0,27.8
DE,2019,85.0,27.299
DE,2019,86.0,26.913
DE,2019,87.0,26.33
DE,2019,88.0,25.79
DE,2019,89.0,25.1
DE,2019,90.0,24.339
DE,2019,91.0,23.086
DE,2019,92.0,21.346
DE,2019,93.0,18.517
DE,2019,94.0,14.222
DE,2019,95.0,10.716
DE,2019,96.0,5.567
DE,2019,97.0,0.391
DE,2019,98.0,-0.926
DE,2019,99.0,-9.984
DE,2019,100.0,-90.01
DE,2020,0.0,200.04
DE,2020,1.0,74.845
DE,2020,2.0,64.21
DE,2020,3.0,59.666
DE,2020,4.0,56.957
DE,2020,5.0,55.16
DE,2020,6.0,53.89
DE,2020,7.0,52.528
DE,2020,8.0,51.394
DE,2020,9.0,50.176
