country,year,hour_utc,avg_price,indexed
DE,2019,0,29.082,0.7721
DE,2019,1,28.102,0.7461
DE,2019,2,27.825,0.7387
DE,2019,3,29.147,0.7738
DE,2019,4,34.109,0.9055
DE,2019,5,40.384,1.0721
DE,2019,6,44.311,1.1763
DE,2019,7,43.541,1.1559
DE,2019,8,41.133,1.092
DE,2019,9,39.205,1.0408
DE,2019,10,37.339,0.9913
DE,2019,11,35.227,0.9352
DE,2019,12,34.092,0.9051
DE,2019,13,34.839,0.9249
DE,2019,14,36.667,0.9734
DE,2019,15,40.824,1.0838
DE,2019,16,46.162,1.2255
DE,2019,17,49.624,1.3174
DE,2019,18,48.21,1.2799
DE,2019,19,43.727,1.1608
DE,2019,20,40.157,1.0661
DE,2019,21,36.779,0.9764
DE,2019,22,32.923,0.874
DE,2019,23,30.625,0.813
DE,2020,0,23.08,0.7574
DE,2020,1,21.901,0.7187
DE,2020,2,21.419,0.7029
DE,2020,3,22.726,0.7458
DE,2020,4,27.135,0.8905
DE,2020,5,32.502,1.0666
DE,2020,6,36.349,1.1929
DE,2020,7,35.777,1.1741
DE,2020,8,33.124,1.087
DE,2020,9,31.022,1.0181
DE,2020,10,29.261,0.9603
DE,2020,11,26.752,0.8779
DE,2020,12,25.186,0.8265
DE,2020,13,26.284,0.8626
DE,2020,14,28.923,0.9492
DE,2020,15,33.722,1.1067
DE,2020,16,39.957,1.3113
DE,2020,17,44.006,1.4441
DE,2020,18,41.61,1.3655
DE,2020,19,36.267,1.1902
DE,2020,20,32.962,1.0817
DE,2020,21,29.965,0.9834
DE,2020,22,26.786,0.879
DE,2020,23,24.605,0.8075
DE,2021,0,74.636,0.7706
DE,2021,1,72.209,0.7456
DE,2021,2,71.797,0.7413
DE,2021,3,75.533,0.7799
DE,2021,4,88.421,0.913
DE,2021,5,103.577,1.0695
DE,2021,6,115.041,1.1878
DE,2021,7,112.805,1.1647
DE,2021,8,106.462,1.0992
DE,2021,9,100.903,1.0419
DE,2021,10,96.6,0.9974
DE,2021,11,90.494,0.9344
DE,2021,12,86.774,0.896
DE,2021,13,89.462,0.9237
DE,2021,14,95.872,0.9899
DE,2021,15,108.256,1.1178
DE,2021,16,123.689,1.2771
DE,2021,17,129.798,1.3402
